    [2026-05-15 11:28:31] Baseline Saved
[2026-05-15 11:28:39] ADDED: cell phone
[2026-05-15 11:28:48] REMOVED: cell phone
[2026-05-15 11:51:30] Baseline Saved
[2026-05-15 11:52:03] Evidence Sent
[2026-05-15 11:52:48] Baseline Saved
[2026-05-15 11:52:51] Evidence Sent
[2026-05-15 11:52:58] Evidence Sent
[2026-05-15 12:01:03] Baseline Saved
[2026-05-15 12:01:15] ADDED: person x2
[2026-05-15 12:01:16] ADDED: cell phone
[2026-05-15 12:01:20] REMOVED: cell phone
[2026-05-15 12:01:20] ADDED: person x3
[2026-05-15 12:01:29] REMOVED: person
[2026-05-15 12:02:39] Baseline Saved
[2026-05-15 12:02:45] REMOVED: person x2
[2026-05-15 12:02:46] ADDED: chair
[2026-05-15 12:02:55] ADDED: bench
[2026-05-15 12:02:56] REMOVED: person
[2026-05-15 12:02:56] REMOVED: chair
[2026-05-15 12:02:58] REMOVED: bench
[2026-05-15 12:03:02] ADDED: person
[2026-05-15 12:03:06] ADDED: chair x2
[2026-05-15 12:03:14] REMOVED: chair
[2026-05-15 12:03:15] Evidence Sent
[2026-05-15 12:03:18] ADDED: person x2
[2026-05-15 12:03:19] ADDED: chair x2
[2026-05-15 12:03:22] REMOVED: person
[2026-05-15 12:03:22] REMOVED: chair x2
[2026-05-15 12:03:31] ADDED: person x3
[2026-05-15 12:03:33] REMOVED: person
[2026-05-15 12:03:34] ADDED: chair
[2026-05-15 12:03:36] REMOVED: chair
[2026-05-15 12:04:46] ADDED: chair
[2026-05-15 12:04:59] REMOVED: chair
[2026-05-15 12:05:01] ADDED: chair
[2026-05-15 12:05:28] REMOVED: chair
[2026-05-15 12:05:31] REMOVED: person
[2026-05-15 12:26:04] Baseline Saved
[2026-05-15 12:26:37] ADDED: cell phone
[2026-05-15 12:26:45] REMOVED: person
[2026-05-15 12:26:47] ADDED: person
[2026-05-15 12:26:50] REMOVED: person
[2026-05-15 12:26:53] ADDED: person
[2026-05-15 12:34:55] SYSTEM START     | —          | —                    | Surveillance system initialized
[2026-05-15 12:57:17] OBJ REMOVED      | —          | person               | 3 → 2
[2026-05-15 12:57:20] OBJ ADDED        | —          | cell phone           | 0 → 1
[2026-05-15 12:57:22] LEFT             | P7         | Intruder-P7          | Last seen 12:57:22
[2026-05-15 12:57:22] OBJ REMOVED      | —          | cell phone           | 1 → 0
[2026-05-15 12:57:24] RETURNED         | P7         | Intruder-P7          | Visit #28
[2026-05-15 12:57:27] RETURNED         | P2         | Prajan               | Visit #88
[2026-05-15 12:57:28] RETURNED         | P1         | Intruder-P1          | Visit #67
[2026-05-15 12:57:29] LEFT             | P7         | Intruder-P7          | Last seen 12:57:29
[2026-05-15 12:57:31] LEFT             | P2         | Prajan               | Last seen 12:57:31
[2026-05-15 12:57:33] RETURNED         | P2         | Prajan               | Visit #89
[2026-05-15 12:57:33] OBJ ADDED        | —          | person x3            | 2 → 3
[2026-05-15 12:57:39] LEFT             | P1         | Intruder-P1          | Last seen 12:57:39
[2026-05-15 12:57:39] OBJ REMOVED      | —          | person x3            | 3 → 0
[2026-05-15 12:57:41] LEFT             | P2         | Prajan               | Last seen 12:57:41
[2026-05-15 12:57:49] OBJ ADDED        | —          | person               | 0 → 1
[2026-05-15 12:57:51] SYSTEM STOP      | —          | —                    | Surveillance session ended
[2026-05-15 16:12:47] SYSTEM START     | —          | —                    | Surveillance system initialized
[2026-05-15 16:12:50] BASELINE         | —          | —                    | Baseline snapshot saved
[2026-05-15 16:12:56] RETURNED         | P1         | Intruder-P1          | Visit #74
[2026-05-15 16:12:56] OBJ ADDED        | —          | person               | 0 → 1
[2026-05-15 16:12:57] RETURNED         | P2         | Prajan               | Visit #91
[2026-05-15 16:13:02] RETURNED         | P8         | Intruder-P8          | Visit #2
[2026-05-15 16:13:03] LEFT             | P1         | Intruder-P1          | Last seen 16:13:03
[2026-05-15 16:13:04] RETURNED         | P1         | Intruder-P1          | Visit #77
[2026-05-15 16:13:05] OBJ ADDED        | —          | person x2            | 1 → 2
[2026-05-15 16:13:08] LEFT             | P1         | Intruder-P1          | Last seen 16:13:08
[2026-05-15 16:13:12] LEFT             | P8         | Intruder-P8          | Last seen 16:13:12
[2026-05-15 16:13:14] RETURNED         | P1         | Intruder-P1          | Visit #78
[2026-05-15 16:13:15] RETURNED         | P8         | Intruder-P8          | Visit #13
[2026-05-15 16:13:17] OBJ REMOVED      | —          | person x2            | 2 → 0
[2026-05-15 16:13:18] LEFT             | P2         | Prajan               | Last seen 16:13:18
[2026-05-15 16:13:19] LEFT             | P1         | Intruder-P1          | Last seen 16:13:19
[2026-05-15 16:13:20] LEFT             | P8         | Intruder-P8          | Last seen 16:13:20
[2026-05-15 16:13:23] RETURNED         | P9         | Intruder-P9          | Visit #2
[2026-05-15 16:13:25] OBJ ADDED        | —          | cell phone           | 0 → 1
[2026-05-15 16:13:28] LEFT             | P9         | Intruder-P9          | Last seen 16:13:28
[2026-05-15 16:13:29] OBJ ADDED        | —          | person               | 0 → 1
[2026-05-15 16:13:29] OBJ REMOVED      | —          | cell phone           | 1 → 0
[2026-05-15 16:13:32] RETURNED         | P10        | Intruder-P10         | Visit #2
[2026-05-15 16:13:37] LEFT             | P10        | Intruder-P10         | Last seen 16:13:37
[2026-05-15 16:13:38] RETURNED         | P10        | Intruder-P10         | Visit #4
[2026-05-15 16:13:38] SYSTEM STOP      | —          | —                    | Surveillance session ended
